INDEX-Name-Age-Country-Height-Hair_Colour-YLA-CONF
0-#]Jeanne Wallace-86-CODE:MY-157-White-1-YES
430-#]Alex Griffith-54-CODE:EH-176-Black-1-YES
431-#]Rose Wharton-33-CODE:BV-146-Black-1-YES
432-#]Randy Miller-80-CODE:IQ-157-Blonde-1-YES
433-#]Lisa Godeaux-53-CODE:NG-196-White-1-YES
434-#]Robert Beasley-24-CODE:LS-160-White-1-YES
435-#]Maryanne King-70-CODE:UZ-165-Dyed-1-YES
436-#]James Davis-72-CODE:GQ-156-Black-1-YES
437-#]George Livley-46-CODE:MU-177-Ginger-1-YES
438-#]Stephanie Wlodarek-46-CODE:SD-183-White-1-YES
439-#]Jonathan Martin-82-CODE:MZ-181-Black-1-YES
440-#]Kasey Oshea-46-CODE:SB-196-Black-1-YES
441-#]Linda Willert-57-CODE:SH-186-Ginger-1-YES
442-#]Christina Stevenson-46-CODE:CU-140-Brown-1-YES
443-#]Fay Geiger-33-CODE:CC-162-Dyed-1-YES
444-#]Linda Rigel-76-CODE:GU-170-White-1-YES
445-#]Roy Napier-87-CODE:NZ-162-Blonde-1-YES
446-#]Kenneth Bean-24-CODE:MC-151-White-1-YES
447-#]Michael Fleming-65-CODE:EG-164-White-1-YES
448-#]John Lewis-71-CODE:KP-188-Blonde-1-YES
449-#]Carlos Ashley-46-CODE:MZ-168-Black-1-YES
450-#]Gina Beliles-77-CODE:SK-151-Black-1-YES
451-#]Cynthia Shaw-44-CODE:NG-165-Blonde-1-YES
452-#]Douglas Melton-26-CODE:CU-187-Black-1-YES
453-#]Travis Rosario-76-CODE:AQ-164-White-1-YES
454-#]Jennifer England-40-CODE:ID-189-White-1-YES
455-#]Rhonda Barr-43-CODE:TH-149-Blonde-1-YES
456-#]Elizabeth Sanders-81-CODE:TH-175-Blonde-1-YES
457-#]Robert Ray-85-CODE:FI-188-Black-1-YES
458-#]Dominic Vassallo-57-CODE:IS-192-Dyed-1-YES
459-#]Cornelia Baldwin-81-CODE:TG-169-Ginger-1-YES
460-#]Colleen Mendez-51-CODE:SC-148-Blonde-1-YES
461-#]Michelle Buster-23-CODE:TT-159-White-1-YES
462-#]Carlos Chavez-84-CODE:PT-196-Ginger-1-YES
463-#]Jonathan Branch-86-CODE:HT-184-Black-1-YES
464-#]Debra Pavlosky-59-CODE:VC-187-White-1-YES
465-#]Geraldine Relf-51-CODE:GH-176-Black-1-YES
466-#]Tiffany Dewey-79-CODE:LU-178-Brown-1-YES
467-#]Donald Blackwell-70-CODE:BA-154-Ginger-1-YES
468-#]Virginia Glass-53-CODE:BN-157-Black-1-YES
469-#]Brian Wilson-67-CODE:ZM-185-Blonde-1-YES
470-#]Terry Cleveland-79-CODE:ER-142-Blonde-1-YES
471-#]Roger Robbins-28-CODE:IR-146-White-1-YES
472-#]Katherine Garcia-23-CODE:MT-182-Dyed-1-YES
473-#]Carolyn Schmidt-79-CODE:YE-185-Black-1-YES
474-#]Roy Bailey-85-CODE:FJ-189-Brown-1-YES
475-#]Jennifer Phillips-40-CODE:KH-164-Black-1-YES
476-#]Charlotte Sandoval-66-CODE:DO-163-Blonde-1-YES
477-#]Carolyn Garcia-26-CODE:SO-168-Ginger-1-YES
478-#]Eden Clarke-24-CODE:DE-196-White-1-YES
479-#]Victoria Humphery-26-CODE:CF-197-White-1-YES
480-#]Bradly Campbell-75-CODE:BF-180-Black-1-YES
481-#]Charles Howard-21-CODE:DZ-148-Blonde-1-YES
482-#]Chastity Farlow-74-CODE:CG-141-White-1-YES
483-#]Alfonzo Small-18-CODE:HT-165-Brown-1-YES
484-#]Rafael Watson-33-CODE:IR-192-Blonde-1-YES
485-#]Jennifer Angert-81-CODE:NP-168-Black-1-YES
486-#]Erin Pilon-40-CODE:AN-161-Blonde-1-YES
487-#]Debra West-30-CODE:AQ-181-White-1-YES
488-#]Richard Evans-61-CODE:GH-193-White-1-YES
489-#]Daniel Jong-70-CODE:SR-186-Black-1-YES
490-#]Danial Tadych-79-CODE:SE-146-Black-1-YES
491-#]Tanya Flores-73-CODE:BD-154-Ginger-1-YES
492-#]Stephen Baker-58-CODE:BA-192-Ginger-1-YES
493-#]Linda Anderson-22-CODE:NU-189-Dyed-1-YES
494-#]Jackie Martens-41-CODE:MD-164-Brown-1-YES
495-#]Rolando Ludwig-62-CODE:AN-163-Black-1-YES
496-#]Hilda Byars-71-CODE:FK-189-Brown-1-YES
497-#]Christian Hogan-80-CODE:IR-169-Blonde-1-YES
498-#]Theodore Richardson-83-CODE:EE-162-Blonde-1-YES
499-#]Joseph Lachance-69-CODE:FK-186-Brown-1-YES
500-#]Kimberly Barber-81-CODE:AZ-145-Black-1-YES
501-#]Vicki Rohde-80-CODE:TO-169-Black-1-YES
502-#]James Dain-24-CODE:OM-191-Black-1-YES
503-#]Eric Garcia-36-CODE:KG-169-Black-1-YES
504-#]Ashley Summers-51-CODE:KY-173-Brown-1-YES
505-#]Alice Fridley-67-CODE:SE-167-White-1-YES
506-#]Pam Tauscher-42-CODE:GL-168-Black-1-YES
507-#]Willie Turnipseed-50-CODE:BB-163-Dyed-1-YES
508-#]Claudine Shepard-59-CODE:RU-158-Black-1-YES
509-#]Thomas Hatcher-53-CODE:HK-164-Black-1-YES
510-#]Joel Riester-61-CODE:LU-188-Black-1-YES
511-#]Nellie Kelly-31-CODE:MT-142-Black-1-YES
512-#]Harvey Valot-59-CODE:IL-165-Black-1-YES
513-#]Jack Bork-71-CODE:SI-192-Black-1-YES
514-#]George Jordan-46-CODE:TT-156-Ginger-1-YES
515-#]Martin Hayes-43-CODE:TF-184-Black-1-YES
516-#]Judy Anderson-52-CODE:TD-157-Brown-1-YES
517-#]Halley Ryan-65-CODE:MH-166-White-1-YES
518-#]Gerald Taggert-55-CODE:SI-152-Black-1-YES
519-#]Betty Gardner-46-CODE:TM-169-White-1-YES
520-#]Vincent Martinez-56-CODE:ET-183-Black-1-YES
521-#]Todd Kerley-71-CODE:VC-173-Dyed-1-YES
522-#]Henry Mcleod-55-CODE:CH-147-White-1-YES
523-#]Jeremy Trotter-79-CODE:UZ-166-Brown-1-YES
524-#]George Beebe-80-CODE:ZM-171-Black-1-YES
525-#]Ann Owens-34-CODE:CN-147-Ginger-1-YES
526-#]William Phillips-18-CODE:KW-155-Black-1-YES
527-#]Steve Holden-78-CODE:TT-149-Black-1-YES
528-#]Matthew Soders-27-CODE:MZ-198-Black-1-YES
529-#]Eugene Esser-22-CODE:MQ-191-Black-1-YES
530-#]Glenn Richardson-32-CODE:BH-183-White-1-YES
531-#]Alice Penland-61-CODE:KR-181-Brown-1-YES
532-#]Abraham Jensen-35-CODE:ER-161-Black-1-YES
533-#]Jessica Bryant-49-CODE:TZ-141-Black-1-YES
534-#]Clark Rivera-47-CODE:DM-193-Brown-1-YES
535-#]Ashley Peters-85-CODE:LK-166-Brown-1-YES
536-#]Frank Hicks-46-CODE:TF-168-White-1-YES
537-#]Beatrice Holman-86-CODE:YU-189-Brown-1-YES
538-#]Peter Paradis-18-CODE:BY-179-Black-1-YES
539-#]Jerome Lawyer-82-CODE:UA-166-Blonde-1-YES
540-#]Tammy Walker-49-CODE:CI-155-Black-1-YES
541-#]Delia Rash-29-CODE:NA-163-Ginger-1-YES
542-#]Sonia Ahart-70-CODE:ER-158-Ginger-1-YES
543-#]Xavier Stinnett-74-CODE:BY-164-White-1-YES
544-#]Jayne Cunningham-26-CODE:CO-144-White-1-YES
545-#]Victor Kingery-38-CODE:CO-180-Black-1-YES
546-#]Rose Adams-56-CODE:TF-145-Black-1-YES
547-#]Libby Hennessy-30-CODE:AN-157-Dyed-1-YES
548-#]Brad Frederick-67-CODE:JO-181-Dyed-1-YES
549-#]Gloria Madrid-49-CODE:VU-180-Dyed-1-YES
550-#]Sean Delgado-54-CODE:MM-194-Ginger-1-YES
551-#]Valerie Larson-52-CODE:TV-196-White-1-YES
552-#]Carol Green-76-CODE:GA-169-White-1-YES
553-#]Kenneth Watters-83-CODE:CO-146-White-1-YES
554-#]Robert Holland-27-CODE:VA-174-Ginger-1-YES
555-#]Betty Burgener-65-CODE:SL-150-White-1-YES
556-#]Lillie Krause-23-CODE:VN-198-Black-1-YES
557-#]Susan Cork-72-CODE:JO-167-Blonde-1-YES
558-#]Thomas Hanna-63-CODE:VA-196-Black-1-YES
559-#]Jessica Wolf-81-CODE:BV-200-White-1-YES
560-#]Bryon Savage-64-CODE:BF-160-Blonde-1-YES
561-#]Ken Bitter-26-CODE:SM-160-Ginger-1-YES
562-#]Shanta Gilliard-40-CODE:HU-157-Black-1-YES
563-#]Gloria Larkins-39-CODE:GP-180-Black-1-YES
564-#]David Higgins-77-CODE:ST-187-Black-1-YES
565-#]Miguel Rosel-65-CODE:CC-179-White-1-YES
566-#]Sean Garza-70-CODE:GH-159-Blonde-1-YES
567-#]Tanisha Cantella-65-CODE:TO-157-White-1-YES
568-#]Miguel Drake-85-CODE:BA-187-Blonde-1-YES
569-#]George Romero-61-CODE:PM-185-Blonde-1-YES
570-#]Robert Mincey-50-CODE:VC-182-White-1-YES
571-#]Roseanne Batiste-85-CODE:PA-199-Black-1-YES
572-#]Jules Vasmadjides-30-CODE:GF-171-Ginger-1-YES
573-#]Ben Sayavong-45-CODE:MR-154-Blonde-1-YES
574-#]Cecelia Neilan-23-CODE:SD-182-Ginger-1-YES
575-#]William Sloan-33-CODE:PN-190-Brown-1-YES
576-#]Pamela Luna-61-CODE:GQ-175-White-1-YES
577-#]Joe Garrett-36-CODE:LU-144-Black-1-YES
578-#]Walter Rector-32-CODE:SL-145-Ginger-1-YES
579-#]Robin Fritz-57-CODE:CF-188-Brown-1-YES
580-#]Frederick Anderson-87-CODE:MZ-173-Brown-1-YES
581-#]Danny Marlow-50-CODE:ZR-183-Blonde-1-YES
582-#]Irene Lavergne-54-CODE:SD-170-Brown-1-YES
583-#]Shawn Vanhorn-28-CODE:RE-199-Brown-1-YES
584-#]Stacy Poppel-21-CODE:SR-145-Brown-1-YES
585-#]Norman Matlock-34-CODE:KI-147-Blonde-1-YES
586-#]Gwyneth Sherman-42-CODE:SK-169-Ginger-1-YES
587-#]Estella Blackard-31-CODE:SD-188-White-1-YES
588-#]Michelle Turner-25-CODE:SA-162-Black-1-YES
589-#]Carolin Taylor-82-CODE:UK-160-Blonde-1-YES
590-#]Ralph Flanigan-38-CODE:TP-154-Blonde-1-YES
591-#]James Morton-20-CODE:ZM-183-Black-1-YES
592-#]Philip Peoples-64-CODE:LB-182-White-1-YES
593-#]Benjamin Carey-49-CODE:GL-168-Black-1-YES
594-#]Robert Brunson-33-CODE:CV-141-Black-1-YES
595-#]Roger Perry-64-CODE:IQ-145-Black-1-YES
596-#]David White-35-CODE:ET-180-Black-1-YES
597-#]Jon Gebert-41-CODE:LU-172-Black-1-YES
598-#]Johnny Wilson-56-CODE:DJ-164-Ginger-1-YES
599-#]Margret Grunau-53-CODE:KP-182-White-1-YES
600-#]Kimberly Schmidt-77-CODE:AN-165-Blonde-1-YES
601-#]Gary Mckinney-51-CODE:BT-166-Black-1-YES
602-#]Juanita Moore-34-CODE:IR-148-White-1-YES
603-#]Kelly Farley-55-CODE:NR-160-Ginger-1-YES
604-#]Leisa Demeo-80-CODE:TJ-151-White-1-YES
605-#]Maryann Allen-47-CODE:IQ-177-White-1-YES
606-#]Lawrence Farrell-75-CODE:ZM-140-Black-1-YES
607-#]Violet Baker-50-CODE:IR-147-Black-1-YES
608-#]Jonathan Garrett-25-CODE:CZ-168-Brown-1-YES
609-#]Ignacio Wilson-36-CODE:KR-171-Brown-1-YES
610-#]Carmen Lee-39-CODE:AT-198-Blonde-1-YES
611-#]Carole Crawford-76-CODE:KN-165-Ginger-1-YES
612-#]Mike Jones-50-CODE:UG-184-Black-1-YES
613-#]Aaron Martinez-72-CODE:GU-189-Black-1-YES
614-#]Margaret Carr-54-CODE:CR-176-Black-1-YES
615-#]Jeffrey Wiley-75-CODE:IE-141-Blonde-1-YES
616-#]Christopher Moultry-82-CODE:HN-152-Black-1-YES
617-#]Michael Lopez-23-CODE:KM-150-Blonde-1-YES
618-#]Tabitha Hiner-19-CODE:LA-184-Blonde-1-YES
619-#]Kathryn Wilson-71-CODE:MX-182-Dyed-1-YES
620-#]Jean Johns-82-CODE:AN-167-Blonde-1-YES
621-#]Brendon Sabino-71-CODE:KW-175-White-1-YES
622-#]Michael Manalili-72-CODE:MA-158-Black-1-YES
623-#]Robert Letellier-52-CODE:KY-142-Black-1-YES
624-#]Michael Brucker-47-CODE:LY-170-Black-1-YES
625-#]Timothy Busi-30-CODE:NL-158-Black-1-YES
626-#]Patricia Ross-68-CODE:LY-183-Blonde-1-YES
627-#]Susan Barnard-36-CODE:MP-160-Black-1-YES
628-#]Gertrude Obrien-55-CODE:TK-146-Blonde-1-YES
629-#]Raymond Hinaman-48-CODE:SA-179-Ginger-1-YES
630-#]Claudia Kieffer-77-CODE:NI-168-Blonde-1-YES
631-#]William Rice-65-CODE:US-179-White-1-YES
632-#]Colleen Clothier-81-CODE:MV-186-White-1-YES
633-#]Tova Bartlett-24-CODE:GL-190-White-1-YES
634-#]Angela Anthony-56-CODE:ES-177-White-1-YES
635-#]Johnathan Ojeda-37-CODE:ZA-193-Ginger-1-YES
636-#]Harold Carr-23-CODE:RW-179-Ginger-1-YES
637-#]Annie Matz-50-CODE:KY-197-Brown-1-YES
638-#]Andrew Butler-21-CODE:NC-153-Black-1-YES
639-#]Juan Houston-81-CODE:SH-196-Blonde-1-YES
640-#]Charles Belka-26-CODE:NC-183-Blonde-1-YES
641-#]Virginia Fennell-70-CODE:GE-146-White-1-YES
642-#]Sherry Weber-29-CODE:MQ-145-Brown-1-YES
643-#]Fredric Diberardino-34-CODE:CG-182-Blonde-1-YES
644-#]Maria Grambo-24-CODE:KR-172-Black-1-YES
645-#]Hattie Tobias-85-CODE:SY-156-White-1-YES
646-#]Robert Robinson-56-CODE:WS-162-Black-1-YES
647-#]Dennis Gorski-70-CODE:JO-150-Brown-1-YES
648-#]Aaron Prater-26-CODE:KP-157-Black-1-YES
649-#]Fabian France-58-CODE:SV-156-Blonde-1-YES
650-#]Samuel Mallin-29-CODE:PT-180-Blonde-1-YES
651-#]Laura Sites-47-CODE:LT-189-Black-1-YES
652-#]Allen Dalton-51-CODE:GQ-171-Black-1-YES
653-#]Justin Brown-86-CODE:SV-194-White-1-YES
654-#]Larry Tilton-39-CODE:BS-199-Brown-1-YES
655-#]Brett Sutton-48-CODE:CM-140-Brown-1-YES
656-#]Patricia Lay-18-CODE:SN-184-Blonde-1-YES
657-#]Brian Engle-35-CODE:FR-142-Black-1-YES
658-#]Edith Stovall-36-CODE:GD-186-Brown-1-YES
659-#]Timothy Klein-41-CODE:HT-160-Brown-1-YES
660-#]Roy Skow-71-CODE:QA-147-Ginger-1-YES
661-#]Ann Stanley-23-CODE:UZ-155-Black-1-YES
662-#]Gabriel Glosson-44-CODE:ET-200-White-1-YES
663-#]Roger Smith-68-CODE:SD-181-Black-1-YES
664-#]Jennifer Thornton-25-CODE:MV-163-Blonde-1-YES
665-#]James Gonzalez-25-CODE:SH-145-White-1-YES
666-#]Gerald Gordon-55-CODE:SA-162-Black-1-YES
667-#]Pauline Spaniel-38-CODE:MG-144-Blonde-1-YES
668-#]Stephen Trevino-23-CODE:KM-200-Black-1-YES
669-#]George Bogle-76-CODE:ID-194-Blonde-1-YES
670-#]Wayne Cabrera-34-CODE:CI-191-White-1-YES
671-#]Bryan Leslie-39-CODE:IQ-178-Brown-1-YES
672-#]Harold Restrepo-38-CODE:MU-155-Brown-1-YES
673-#]Michael Colvin-65-CODE:LU-153-Brown-1-YES
674-#]Joseph Pugh-65-CODE:FJ-197-White-1-YES
675-#]Rochelle Clark-77-CODE:GU-148-White-1-YES
676-#]Johnnie Beatty-34-CODE:EC-161-Black-1-YES
677-#]Robert Phillips-23-CODE:GY-144-Brown-1-YES
678-#]Cheri Reda-37-CODE:DE-176-Black-1-YES
679-#]Laura Prickett-35-CODE:MA-155-Blonde-1-YES
680-#]Barbara Smith-79-CODE:CL-165-Blonde-1-YES
681-#]Melissa Rich-52-CODE:NR-190-Black-1-YES
682-#]Dennis Smith-85-CODE:EG-184-Black-1-YES
683-#]Marisol Harper-47-CODE:NC-191-Brown-1-YES
684-#]Jean Smith-73-CODE:BF-150-White-1-YES
685-#]David Oconnor-53-CODE:PA-190-Brown-1-YES
686-#]Jacqueline Stell-38-CODE:TZ-147-Dyed-1-YES
687-#]Kathy Helms-48-CODE:MK-146-Brown-1-YES
688-#]James Garza-82-CODE:TD-163-Ginger-1-YES
689-#]Jean Studer-19-CODE:MH-168-Blonde-1-YES
690-#]Robert Roderick-83-CODE:RO-180-Black-1-YES
691-#]Robert Temple-87-CODE:IE-174-Blonde-1-YES
692-#]William Maynard-33-CODE:NO-178-Black-1-YES
693-#]Mary Gomez-43-CODE:VA-190-Brown-1-YES
694-#]Kerry Vaught-58-CODE:LC-162-Dyed-1-YES
695-#]Brandon Whittingham-31-CODE:CN-193-White-1-YES
696-#]Grace Holland-30-CODE:EE-200-Blonde-1-YES
697-#]Krystal Johnston-82-CODE:MX-165-Dyed-1-YES
698-#]Casey Gunter-37-CODE:MY-142-Brown-1-YES
699-#]Nicole Sallas-49-CODE:AI-169-Blonde-1-YES
700-#]Margaret Church-36-CODE:SN-169-Ginger-1-YES
701-#]Dylan Hamby-70-CODE:CR-148-Blonde-1-YES
702-#]Dorothy Johnson-23-CODE:IN-173-White-1-YES
703-#]Peter Mann-78-CODE:CO-176-Blonde-1-YES
704-#]Suzanne Mackay-71-CODE:LB-144-Blonde-1-YES
705-#]Clarence Dehart-39-CODE:RO-149-Black-1-YES
706-#]Florence Riffle-68-CODE:CM-157-Blonde-1-YES
707-#]Jeffrey Freeman-78-CODE:IL-166-Dyed-1-YES
708-#]Nicolas Wolters-26-CODE:LR-185-Blonde-1-YES
709-#]Cary White-26-CODE:HU-182-Blonde-1-YES
710-#]Mary Gardner-74-CODE:SG-172-Ginger-1-YES
711-#]Imogene Haugh-66-CODE:DM-151-Black-1-YES
712-#]Johnny Barrow-64-CODE:FK-168-Blonde-1-YES
713-#]Jermaine Cork-65-CODE:TW-195-Black-1-YES
714-#]Robert Gilbert-73-CODE:NI-152-Blonde-1-YES
715-#]Reggie Henderson-29-CODE:ZW-185-Blonde-1-YES
716-#]Desiree Hill-69-CODE:PF-146-Ginger-1-YES
717-#]Robert Russell-66-CODE:TF-143-Black-1-YES
718-#]Richard Cunningham-59-CODE:AQ-189-Brown-1-YES
719-#]Joseph Hill-69-CODE:PL-174-Blonde-1-YES
720-#]Peter Mallory-65-CODE:QA-193-Dyed-1-YES
721-#]Glenda Prestridge-34-CODE:ES-164-Blonde-1-YES
722-#]Rachel Rogers-55-CODE:DZ-177-Blonde-1-YES
723-#]Yolanda Springer-51-CODE:HT-144-Blonde-1-YES
724-#]Margret Winters-41-CODE:BD-147-Blonde-1-YES
725-#]Kevin Rutledge-70-CODE:KP-145-Brown-1-YES
726-#]Stephanie Pressley-73-CODE:SE-157-Blonde-1-YES
727-#]Linda King-47-CODE:KE-143-Blonde-1-YES
728-#]Joan Hales-78-CODE:TO-145-Blonde-1-YES
729-#]David Reigstad-18-CODE:SG-159-Blonde-1-YES
730-#]Ignacio Willis-75-CODE:MO-144-Black-1-YES
731-#]Steven Davis-21-CODE:AS-152-Brown-1-YES
732-#]David Robey-33-CODE:LY-192-Dyed-1-YES
733-#]Sheila Ramos-28-CODE:BW-198-Dyed-1-YES
734-#]Virginia White-72-CODE:IS-184-White-1-YES
735-#]Amber Conteh-20-CODE:UA-166-Brown-1-YES
736-#]Sandra Watkins-36-CODE:FJ-160-Blonde-1-YES
737-#]Lena Brown-56-CODE:YT-152-Black-1-YES
738-#]Larry Krumholz-27-CODE:YU-183-Blonde-1-YES
739-#]Dona Hatfield-69-CODE:TP-190-Brown-1-YES
740-#]Velma Queen-28-CODE:BS-156-Blonde-1-YES
741-#]Nichole Jordan-24-CODE:RW-163-Black-1-YES
742-#]Cindy Johnson-56-CODE:PY-172-Black-1-YES
743-#]Vanessa Shaw-45-CODE:CR-152-Brown-1-YES
744-#]Ruth Little-38-CODE:NR-196-White-1-YES
745-#]Melissa Withers-45-CODE:EG-144-Brown-1-YES
746-#]Patrice Taylor-55-CODE:CH-164-White-1-YES
747-#]Sanford Ochoa-64-CODE:BB-190-Black-1-YES
748-#]Brenda Rodriguez-40-CODE:GF-182-Brown-1-YES
749-#]Clyde Moore-61-CODE:GN-150-Ginger-1-YES
750-#]Susan Cramer-63-CODE:AI-192-Blonde-1-YES
751-#]Donna Salimi-69-CODE:PN-146-Brown-1-YES
752-#]Brian Cox-86-CODE:RW-148-White-1-YES
753-#]Martha Burns-18-CODE:BH-180-Black-1-YES
754-#]Daniel Meraz-86-CODE:AI-148-Blonde-1-YES
755-#]Anna Sanchez-39-CODE:VC-197-Brown-1-YES
756-#]Wayne Carter-53-CODE:MU-182-Blonde-1-YES
757-#]Kimberly Chatfield-35-CODE:DK-154-Dyed-1-YES
758-#]Donald Calderon-73-CODE:BT-189-White-1-YES
759-#]Brandi Mccracken-87-CODE:SB-169-Black-1-YES
760-#]Brendan Fontaine-59-CODE:IN-153-White-1-YES
761-#]Jonathan Werner-23-CODE:MV-149-Ginger-1-YES
762-#]Salvador Guidry-65-CODE:GL-152-Brown-1-YES
763-#]Alan Dameron-20-CODE:CR-158-White-1-YES
764-#]Antonietta Roberson-25-CODE:LI-167-White-1-YES
765-#]Jeffrey Blue-86-CODE:NU-151-White-1-YES
766-#]Jennie Crowder-26-CODE:TK-168-Black-1-YES
767-#]Nancy Saavedra-68-CODE:CH-191-White-1-YES
768-#]Marion Brazill-48-CODE:PN-199-White-1-YES
769-#]Tracy Avery-21-CODE:CF-182-Black-1-YES
770-#]Sandra Juarez-30-CODE:AQ-191-Black-1-YES
771-#]Thomas Hill-37-CODE:PK-184-White-1-YES
772-#]David Bonilla-40-CODE:MX-198-White-1-YES
773-#]Madeline Green-31-CODE:CH-174-White-1-YES
774-#]Corliss Jenkins-49-CODE:UZ-182-Brown-1-YES
775-#]Mildred Glenn-51-CODE:NP-153-White-1-YES
776-#]Ronald Wengerd-49-CODE:CL-193-Brown-1-YES
777-#]Dennis Aaron-18-CODE:ZM-176-Black-1-YES
778-"#]Veronica Rhodes-Coppern-Braiz"-20-CODE:IL-165-White-1-YES
779-#]Elizabeth Adams-77-CODE:AZ-197-Blonde-1-YES
780-#]Joyce Stcyr-57-CODE:PE-186-Ginger-1-YES
781-#]Mathew Chun-76-CODE:ID-196-Black-1-YES
782-#]Jennifer Castle-74-CODE:AS-172-White-1-YES
783-#]Mary Duncan-69-CODE:UZ-200-Black-1-YES
784-#]Jim Chavez-42-CODE:BB-189-Black-1-YES
785-#]Jenine Rudnick-57-CODE:CA-186-Brown-1-YES
786-#]Marvin Smith-29-CODE:LB-167-Blonde-1-YES
787-#]Deborah Anyan-27-CODE:MA-165-Brown-1-YES
788-#]Elizabeth Collins-84-CODE:GM-164-Blonde-1-YES
789-#]Lorrie Nestor-81-CODE:CC-154-Ginger-1-YES
790-#]Brenda Sanderlin-64-CODE:DJ-152-Brown-1-YES
791-#]Noemi Bressler-63-CODE:TT-159-Blonde-1-YES
792-#]Eileen Ellis-27-CODE:JO-144-White-1-YES
793-#]Henry Siebenaler-47-CODE:PW-177-Black-1-YES
794-#]Robert Hine-39-CODE:CX-173-Ginger-1-YES
795-#]Janet Roy-84-CODE:LY-168-Ginger-1-YES
796-#]Juanita Johson-78-CODE:NG-183-Blonde-1-YES
797-#]Gary White-62-CODE:UK-183-White-1-YES
798-#]Jessica Finney-66-CODE:PF-166-Brown-1-YES
799-#]Christen Whilden-54-CODE:PA-149-Dyed-1-YES
800-#]Jewell Baker-27-CODE:PT-176-Black-1-YES
801-#]Sabrina Gomes-81-CODE:KR-166-Dyed-1-YES
802-#]Kathleen Pryor-77-CODE:CH-156-Ginger-1-YES
803-#]Ryan Hall-63-CODE:ET-139-Blonde-1-YES
804-#]Johnnie Eure-67-CODE:GR-146-Black-1-YES
805-#]Rudolph Brown-79-CODE:SZ-168-Brown-1-YES
806-#]Carol Clark-70-CODE:BW-152-Blonde-1-YES
807-#]William Cleckner-22-CODE:SK-175-Blonde-1-YES
808-#]Steven Edes-82-CODE:FI-168-White-1-YES
809-#]Robert Sommers-59-CODE:HK-190-White-1-YES
810-#]Ruth Ngo-70-CODE:CN-197-White-1-YES
811-#]James Molina-66-CODE:GW-161-Black-1-YES
812-#]Daniel Stachura-22-CODE:LK-142-Ginger-1-YES
813-#]Heather Williams-28-CODE:LI-164-White-1-YES
814-#]James Perez-54-CODE:SL-200-Brown-1-YES
815-#]Brian Lewis-75-CODE:PG-199-Black-1-YES
816-#]Helen Shaffer-71-CODE:US-178-White-1-YES
817-#]William Dense-57-CODE:TP-164-Blonde-1-YES
818-#]Kathleen Hernandez-83-CODE:GM-147-Blonde-1-YES
819-#]Carmela Szerszen-28-CODE:GQ-154-Black-1-YES
820-#]William Evans-63-CODE:CN-193-White-1-YES
821-#]Judy Honn-79-CODE:LS-142-Black-1-YES
822-#]Mary Schmidt-85-CODE:PE-157-Black-1-YES
823-#]Kristen Morris-49-CODE:ZA-142-Dyed-1-YES
824-#]Gloria Barocio-46-CODE:PM-154-Black-1-YES
825-#]Jeanie Smith-53-CODE:LT-180-Black-1-YES
826-#]Harry Goodwin-44-CODE:NA-147-White-1-YES
827-#]Michael Stringfield-18-CODE:VU-154-White-1-YES
828-#]Ima Mertz-66-CODE:TR-174-Brown-1-YES
829-#]Sonia Mckenzie-80-CODE:SR-186-Blonde-1-YES
830-#]Fabian Delagarza-82-CODE:FR-187-Black-1-YES
831-#]John Harrell-83-CODE:AO-188-Blonde-1-YES
832-#]Carole Lilley-58-CODE:MQ-165-Blonde-1-YES
833-#]Carolyn Jackson-75-CODE:PW-194-Brown-1-YES
834-#]Jessica Anderson-76-CODE:TJ-152-Dyed-1-YES
835-#]Donald Thomas-18-CODE:BN-193-Blonde-1-YES
836-#]James Gross-50-CODE:MR-188-Blonde-1-YES
837-#]John Williams-48-CODE:AI-160-Dyed-1-YES
838-#]Andrew James-58-CODE:PG-183-Black-1-YES
839-#]Michael Scott-71-CODE:TF-193-White-1-YES
840-#]Terrence Muldoon-82-CODE:PN-160-Blonde-1-YES
841-#]Todd Haralson-67-CODE:IE-178-White-1-YES
842-#]Donald Simmons-21-CODE:TZ-195-Black-1-YES
843-#]Carlos Ashby-22-CODE:MO-176-Brown-1-YES
844-#]George Marrero-34-CODE:AU-140-Dyed-1-YES
845-#]Edward Hussey-18-CODE:VG-184-Blonde-1-YES
846-#]John Young-69-CODE:SM-184-Ginger-1-YES
847-#]Antoinette Odom-36-CODE:LS-154-Ginger-1-YES
848-#]Natalie Gates-62-CODE:SN-193-Dyed-1-YES
849-#]Kevin Tran-23-CODE:NI-157-White-1-YES
850-#]Laura Hammond-37-CODE:MX-141-Brown-1-YES
851-#]Valerie Burns-47-CODE:CF-179-Blonde-1-YES
852-#]Vivian Sharp-55-CODE:MM-192-Black-1-YES
853-#]Francis Woodard-56-CODE:TZ-190-Ginger-1-YES
854-#]Christopher Brandt-19-CODE:NF-170-White-1-YES
855-#]Tony Stewart-18-CODE:PL-193-Brown-1-YES
856-#]Karen Hartwig-60-CODE:RU-176-Ginger-1-YES
857-#]Rebecca Bliven-23-CODE:GM-184-Dyed-1-YES
858-#]Rosalie Bostic-29-CODE:NF-192-Black-1-YES
859-#]Marie Baylon-41-CODE:TZ-141-White-1-YES
860-#]Gerald Henson-45-CODE:LR-199-White-1-YES
861-#]Richard Bolger-63-CODE:LI-184-Dyed-1-YES
862-#]Phillip Joesph-70-CODE:BI-180-Black-1-YES
